bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway_station,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_age_200,mean_age_500,mean_floors_200,mean_floors_500,mean_salaries_1000,mean_salaries_500,median_age_200,median_age_500,median_floors_200,median_floors_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,price_per_m,priced_houses_200,priced_houses_500,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
8,0,39,13,20,5,0,0,335,8055,489,1752,4,3,1,0,1,0,2,0,49,40,2,4,32,18,51,45,2,4,25,18,2,0,8,2,4,0,71,7,37,3,1,34,5,0,0,13,1,1,1,29,1
7,1,22,8,4,1,0,0,147,1239,1160,4627,0,0,1,1,1,0,4,0,22,29,6,6,29,0,20,30,7,6,29,0,1,0,2,0,0,0,71,5,29,0,0,29,2,0,0,6,4,0,0,4,0
5,3,57,14,30,23,0,0,225,10317,491,3533,7,1,2,0,3,1,0,0,82,90,3,2,40,39,87,102,2,2,37,34,6,4,5,3,18,5,89,12,60,3,1,21,13,0,0,21,9,3,1,32,6
6,1,25,8,2,0,1,0,36,3190,613,1741,3,2,0,0,1,1,0,0,58,53,2,3,34,23,61,60,3,2,32,23,0,0,4,1,0,0,43,13,44,1,0,34,3,0,0,10,0,0,0,5,1
5,0,14,2,1,1,0,0,111,4176,1826,1787,0,0,0,0,0,0,0,0,47,46,3,3,42,65,57,51,3,3,45,65,0,0,1,1,0,0,42,4,30,0,0,16,1,0,0,6,2,0,0,11,1
8,0,35,9,36,6,0,0,139,7022,421,283,3,1,2,0,2,1,2,0,54,49,5,5,39,39,51,50,4,5,30,30,7,1,20,1,11,3,74,4,27,5,1,59,8,1,1,12,2,1,0,96,29
4,1,21,5,2,0,1,0,376,3234,578,1916,0,0,0,0,1,1,0,0,51,43,12,6,37,36,51,56,12,4,35,32,1,0,0,0,5,0,59,2,30,1,0,14,3,0,0,6,0,1,0,42,23
4,1,12,0,2,2,0,0,546,4049,1282,548,1,0,2,0,1,0,0,0,51,56,4,3,30,27,59,59,5,3,28,27,1,0,3,2,2,2,51,11,30,0,0,25,13,2,0,1,0,0,0,26,2
2,0,11,2,0,0,0,0,262,2815,897,2873,0,0,0,0,1,0,0,0,15,22,5,4,30,50,17,20,4,4,26,50,0,0,2,0,1,1,62,6,17,3,0,24,3,0,0,7,2,0,0,11,1
8,3,18,8,5,2,0,0,229,1066,464,3957,1,0,1,0,0,0,0,0,43,42,4,4,34,0,42,47,5,4,27,0,0,0,0,0,1,0,54,10,63,2,1,36,6,0,0,1,0,0,0,6,0
0,0,14,3,18,3,0,0,480,6823,340,486,3,1,2,1,1,1,0,0,43,44,3,5,40,44,49,49,2,5,32,36,5,1,5,1,8,2,85,7,23,3,1,22,2,1,1,5,0,1,0,42,24
0,0,17,8,2,1,0,0,114,12076,1054,5295,0,0,1,0,1,0,0,0,141,78,3,3,21,0,141,102,3,4,21,0,0,0,2,0,4,1,47,2,14,0,0,4,2,0,0,1,1,0,0,2,0
6,3,11,3,2,0,0,0,34,3646,835,37,0,0,2,1,1,1,0,0,62,59,3,3,38,27,63,61,5,3,33,27,0,0,3,1,2,1,56,7,53,1,0,33,18,2,1,0,0,0,0,28,9
7,1,27,7,7,1,0,0,89,1549,1824,5151,0,0,1,1,0,0,2,0,29,26,8,6,32,0,32,32,9,5,29,0,0,0,1,0,5,0,64,8,41,0,0,47,7,0,0,4,1,0,0,10,0
5,2,21,6,5,1,0,0,342,1143,111,3422,1,1,1,0,0,0,1,0,47,46,3,4,26,0,50,49,3,4,20,0,1,0,3,0,0,0,48,15,59,2,2,30,12,0,0,3,0,0,0,6,0
7,3,21,6,3,0,2,1,43,969,1096,3515,0,0,1,1,1,1,2,1,49,44,3,5,24,0,49,43,4,6,24,0,1,1,1,0,7,0,57,7,54,0,0,36,10,0,0,8,4,0,0,2,0
5,2,17,5,3,1,0,0,69,795,1499,4120,0,0,1,0,1,1,2,1,42,41,4,4,29,0,42,43,4,4,29,0,1,0,0,0,1,0,62,4,52,0,0,27,4,0,0,8,1,0,0,2,0
2,0,24,2,7,3,0,0,370,8423,654,2503,4,1,1,0,2,0,1,0,3,29,6,5,31,36,3,29,6,5,25,18,1,0,4,1,3,0,54,2,24,1,0,14,5,0,0,5,2,0,0,25,6
5,2,12,6,1,1,0,0,293,3832,1571,1956,0,0,0,0,1,0,0,0,47,45,3,3,33,0,51,51,4,4,26,0,0,0,1,1,1,0,49,14,49,0,0,19,5,0,0,6,3,0,0,4,0
5,2,11,5,1,0,0,0,251,3658,1335,1944,0,0,0,0,1,0,0,0,41,45,3,3,31,0,41,50,4,3,23,0,0,0,2,1,1,0,51,9,58,0,0,21,9,0,0,5,3,0,0,5,0
0,0,11,0,9,3,0,0,563,6680,331,563,3,0,2,1,1,0,0,0,33,42,7,5,44,41,40,48,7,5,35,42,4,1,3,1,6,2,92,8,19,2,1,19,2,1,0,4,0,1,0,34,14
5,2,22,3,5,2,0,0,192,1234,1800,4893,0,0,1,0,0,0,2,0,32,27,6,6,28,29,33,30,7,6,29,29,0,0,1,1,2,0,66,7,40,0,0,36,7,0,0,6,1,0,0,5,4
10,5,40,12,33,9,0,0,312,7912,186,1161,3,0,0,0,1,0,1,1,9,42,6,6,39,56,9,22,6,4,28,25,5,0,13,7,5,0,73,8,42,5,3,43,16,0,0,12,6,2,0,44,11
6,1,20,4,5,1,0,0,83,1837,1555,5157,0,0,1,1,0,0,2,0,38,35,4,5,36,42,39,38,4,5,30,42,0,0,0,0,2,1,61,15,56,0,0,25,9,0,0,3,0,0,0,5,2
5,0,29,9,22,6,0,0,222,6287,654,448,6,1,5,1,2,0,1,0,43,42,4,5,34,30,45,45,3,4,28,21,4,1,12,4,10,5,86,10,29,1,0,46,10,2,1,5,2,0,0,95,13
0,0,9,3,0,0,0,0,134,5274,23,832,2,0,1,0,0,0,0,0,33,42,5,3,22,20,28,43,4,3,22,18,1,0,0,0,2,1,43,3,22,2,2,7,0,1,0,5,2,0,0,9,5
9,2,21,4,3,0,0,0,280,296,1024,3381,1,0,1,0,1,0,3,0,47,45,3,4,24,0,51,46,2,4,24,0,2,0,1,0,3,2,53,9,41,0,0,45,14,0,0,7,2,0,0,2,0
5,1,10,6,2,0,0,0,216,4615,752,322,1,1,2,0,0,0,0,0,47,46,3,3,34,24,48,48,4,4,36,25,1,0,1,0,5,2,62,11,52,3,0,21,3,1,1,4,2,0,0,14,5
2,1,10,4,0,0,0,0,207,2243,202,1518,2,0,0,0,0,0,0,0,45,51,4,2,46,0,47,54,2,2,42,0,0,0,0,0,0,0,59,5,22,1,1,12,0,0,0,7,4,0,0,16,0
5,2,13,1,10,1,0,0,270,4791,348,1122,2,2,2,2,4,1,3,1,53,43,2,4,41,0,52,50,3,3,32,0,2,1,5,1,4,2,67,10,46,3,1,52,16,0,0,4,0,0,0,43,0
4,0,19,4,10,2,0,0,404,5131,772,726,5,3,3,0,4,1,4,2,44,47,3,4,37,48,52,51,3,4,28,35,2,0,4,2,5,2,64,12,61,2,0,40,7,1,0,5,0,0,0,45,19
7,2,17,2,3,0,0,0,313,1505,1221,4714,0,0,2,0,0,0,1,0,47,43,4,4,34,36,49,48,3,4,27,30,0,0,0,0,2,0,54,12,63,0,0,38,2,0,0,2,0,0,0,6,5
3,0,45,11,23,6,0,0,159,10398,572,3737,4,0,1,1,2,1,0,0,30,58,3,3,34,28,32,45,3,3,27,30,4,2,3,0,6,2,73,9,44,2,0,14,3,0,0,14,3,1,0,14,4
3,1,15,3,1,0,0,0,290,4008,1531,2453,1,0,0,0,0,0,0,0,48,50,2,3,48,34,47,48,2,4,50,34,0,0,1,1,2,0,61,10,52,0,0,7,3,0,0,7,1,0,0,9,1
9,1,53,16,20,0,0,0,113,9269,859,2576,3,3,3,1,3,0,0,0,56,50,3,4,41,46,59,25,3,4,40,37,4,0,9,0,15,6,36,8,52,1,0,23,10,0,0,14,4,1,0,130,16
4,2,19,4,2,0,0,0,154,2347,350,2361,2,0,1,1,1,0,0,0,18,31,6,4,30,0,13,31,7,4,24,0,0,0,7,4,1,0,60,8,55,3,3,27,14,0,0,8,4,0,0,9,0
2,1,17,4,6,1,1,0,380,3720,673,1050,2,0,1,0,1,1,1,0,10,15,6,6,31,34,8,9,6,5,30,32,2,1,0,0,0,0,67,14,33,2,0,31,4,0,0,7,2,0,0,34,15
5,3,16,4,4,2,1,0,251,3611,862,488,4,0,1,1,1,1,0,0,59,62,2,2,39,31,64,64,2,2,35,31,1,0,4,1,2,2,45,7,37,1,0,35,12,1,1,2,0,0,0,27,10
2,1,11,4,1,0,0,0,256,2288,150,1496,2,0,0,0,0,0,0,0,42,51,3,2,46,0,47,52,2,2,42,0,0,0,1,0,0,0,50,7,27,1,1,13,0,0,0,6,4,0,0,16,0
1,0,21,5,5,0,1,0,390,6252,1539,1541,1,0,0,0,1,0,0,0,53,46,5,4,30,0,53,53,4,3,28,0,2,1,1,0,1,1,67,9,45,0,0,23,8,0,0,5,0,0,0,10,0
8,3,27,6,17,12,0,0,158,7031,1188,1223,1,0,2,1,2,1,1,0,34,33,8,6,33,38,41,39,10,6,30,31,4,4,10,4,7,0,60,11,64,0,0,50,18,0,0,12,2,0,0,85,17
4,0,11,4,3,2,0,0,111,1700,302,2523,4,2,1,1,0,0,0,0,51,44,4,3,26,26,52,47,4,4,20,20,1,0,7,4,0,0,61,15,27,4,3,30,9,0,0,5,0,0,0,6,6
0,0,5,2,1,0,0,0,261,6318,1071,1289,0,0,0,0,1,0,0,0,59,65,3,2,25,0,60,74,2,2,24,0,0,0,0,0,0,0,40,4,7,0,0,1,0,0,0,5,2,1,0,7,0
4,0,14,4,3,2,0,0,255,1782,191,2613,3,2,1,1,0,0,0,0,47,42,4,4,26,26,52,41,4,4,20,20,1,0,8,5,0,0,40,12,30,4,2,30,9,0,0,8,0,0,0,6,6
4,1,14,3,6,0,0,0,221,1025,595,2949,4,0,0,0,0,0,1,1,48,48,3,3,26,12,48,49,4,3,20,12,1,1,3,0,2,0,58,13,43,4,0,33,11,0,0,1,0,0,0,6,1
