bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway_station,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_age_200,mean_age_500,mean_floors_200,mean_floors_500,mean_salaries_1000,mean_salaries_500,median_age_200,median_age_500,median_floors_200,median_floors_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,price_per_m,priced_houses_200,priced_houses_500,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
12,0,42,1,46,1,0,0,281,2637,435,836,0,0,1,0,16,1,6,0,3,19,4,5,52,37,3,4,5,5,46,31,21,0,49,6,5,3,176,3,9,2,1,198,15,2,0,2,0,0,0,82,7
36,6,71,24,288,66,3,1,14,1249,72,237,4,2,15,1,73,17,13,2,134,127,3,2,53,46,108,121,3,3,45,44,72,12,222,46,44,16,99,4,29,6,2,833,176,5,2,13,4,0,0,175,22
12,0,22,0,26,2,0,0,597,6886,3466,868,0,0,0,0,1,0,2,0,24,44,5,4,49,48,14,58,1,4,45,41,2,0,6,0,3,1,171,4,19,0,0,86,8,2,0,4,0,0,0,133,10
4,1,54,18,19,3,1,1,54,7307,1539,522,1,0,3,1,1,0,2,1,60,53,2,4,47,48,60,60,3,3,42,42,3,2,8,3,5,0,107,3,13,0,0,56,26,2,0,15,6,0,0,220,26
24,2,73,15,101,15,1,0,105,2743,1051,794,5,1,5,1,50,3,3,0,107,102,3,3,50,56,160,115,2,3,44,56,12,1,111,12,14,6,161,4,27,0,0,354,35,2,0,7,5,1,1,192,16
8,3,81,16,20,5,1,0,47,7920,1401,2825,0,0,0,0,0,0,2,1,35,32,6,7,39,30,35,37,6,6,32,25,3,1,4,0,4,2,87,3,21,0,0,111,40,0,0,14,0,0,0,31,14
23,5,71,21,110,23,0,0,118,2635,396,981,4,1,2,0,26,0,3,0,114,88,3,3,49,43,109,109,4,3,42,44,13,4,94,6,33,8,249,6,30,3,1,275,48,1,0,0,0,4,2,103,8
10,0,38,4,33,8,1,0,208,8361,795,759,0,0,0,0,1,0,0,0,49,40,1,4,45,46,49,43,1,4,36,35,3,0,15,5,1,0,103,1,7,2,0,157,53,1,0,9,4,0,0,163,81
11,0,20,0,20,0,0,0,581,7084,3688,995,0,0,0,0,1,0,2,0,63,45,4,5,51,42,63,59,4,4,45,37,2,0,4,0,3,0,158,3,17,0,0,67,0,1,0,5,0,0,0,126,23
13,4,69,25,76,25,0,0,211,2820,608,1311,3,2,2,0,18,0,2,0,16,88,5,3,51,55,3,109,4,4,45,50,5,2,65,18,30,11,241,5,32,3,0,199,73,0,0,0,0,5,2,76,15
19,6,62,25,49,17,0,0,213,5488,2144,626,6,3,1,1,3,1,2,1,96,87,2,3,57,63,96,102,2,3,50,50,5,2,17,6,11,4,132,2,8,0,0,152,48,2,0,9,4,1,0,430,101
40,7,113,29,234,57,3,1,67,3425,479,636,6,0,8,1,20,8,9,3,118,98,3,3,62,57,114,109,4,4,50,50,40,21,55,26,73,15,200,10,49,4,1,608,212,2,0,16,0,1,0,291,29
19,4,92,19,97,19,0,0,184,3381,380,887,6,1,2,0,14,3,2,0,102,93,3,4,50,57,105,102,2,5,40,48,20,2,75,12,41,7,119,4,9,8,4,288,34,1,0,10,0,11,6,380,21
1,1,15,2,11,2,0,0,190,7309,1134,1198,1,0,1,0,0,0,1,1,6,13,14,10,62,0,7,7,16,8,35,0,1,0,8,3,2,0,113,4,18,0,0,67,24,0,0,0,0,0,0,23,0
29,12,112,27,220,72,3,1,141,3007,361,524,5,4,10,5,22,6,7,3,102,95,3,3,63,64,112,108,3,4,50,50,29,9,52,8,84,34,116,7,34,3,1,510,130,2,0,21,4,0,0,257,117
3,1,33,5,9,1,0,0,272,4987,923,2180,4,0,0,0,0,0,2,1,67,41,1,5,48,46,67,35,1,4,45,45,3,0,9,3,15,4,96,1,11,1,0,78,18,0,0,12,3,0,0,62,32
13,5,53,10,74,19,2,1,320,3592,420,336,3,1,3,0,9,4,9,6,4,40,5,6,53,69,4,8,5,6,45,50,7,3,70,12,6,2,192,2,11,4,1,240,59,2,1,2,0,2,1,150,15
31,11,99,20,209,41,2,0,23,3242,640,588,5,3,9,4,18,6,9,1,99,69,3,3,63,59,109,103,3,3,50,45,24,2,37,6,79,29,127,6,26,3,0,444,75,2,0,22,6,0,0,311,42
1,0,13,0,3,1,0,0,524,7272,2060,2173,0,0,0,0,2,2,1,1,3,2,8,8,48,34,3,3,7,8,34,35,1,0,1,0,5,1,155,5,10,0,0,8,1,0,0,0,0,0,0,15,4
11,2,80,27,66,26,2,1,118,2609,1062,341,4,2,4,1,8,4,3,1,107,89,2,3,53,59,116,105,2,3,45,52,6,1,39,4,8,1,148,6,20,0,0,159,61,1,1,13,6,0,0,145,54
2,0,14,8,2,1,1,0,267,6529,2298,3570,1,0,1,1,1,0,0,0,31,30,6,6,32,0,31,31,3,6,30,0,1,0,4,1,2,2,107,3,8,0,0,39,15,0,0,0,0,0,0,4,0
0,0,0,0,2,0,0,0,1072,6284,1373,1802,0,0,0,0,0,0,0,0,42,60,2,2,50,63,62,67,2,2,42,50,0,0,1,1,6,0,146,3,13,0,0,1,0,0,0,0,0,0,0,30,7
1,1,36,8,13,0,0,0,171,6948,1852,1504,0,0,1,0,2,1,2,0,45,33,8,6,44,44,45,38,8,6,35,36,2,1,5,0,5,3,134,2,9,0,0,27,7,0,0,0,0,0,0,22,6
6,3,59,18,35,13,0,0,151,3520,674,1900,4,2,1,1,3,2,0,0,42,52,3,3,52,51,4,54,3,3,46,48,4,0,39,6,26,12,201,6,13,2,0,81,29,0,0,4,0,4,0,28,3
27,4,90,12,302,59,1,0,306,2041,204,969,10,3,3,0,84,20,6,1,173,137,2,2,58,61,184,142,2,3,44,60,45,11,261,89,72,21,105,6,30,4,3,624,131,1,0,9,0,0,0,191,15
1,1,28,8,5,3,0,0,339,9387,2139,4616,0,0,1,1,0,0,0,0,11,11,3,4,53,62,11,12,3,4,50,63,0,0,0,0,5,1,110,2,3,0,0,25,8,0,0,9,4,0,0,34,10
6,0,59,16,14,3,0,0,43,5132,318,786,2,2,2,1,1,1,2,1,76,76,4,4,48,57,110,110,3,3,40,49,0,0,5,2,14,1,200,3,3,2,1,75,27,1,0,5,0,0,0,100,28
