price,price_per_m,area,year,bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway,floor,floors_total,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_salaries_1000,mean_salaries_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,rooms,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
11172.0,120,93.1,1998.0,3,0,36,8,18,4,1,0,312,9581,2921,1186,5,9,1,0,0,0,0,0,3,1,43,0,40,0,1,0,5,0,7,2,3,0,0,97,15,0,0,6,0,0,0,13.0,0.0
5311.6,98,54.2,2017.0,0,0,25,2,5,0,0,0,491,6439,1516,4158,12,16,0,0,1,0,0,0,0,0,42,0,35,0,3,0,0,0,3,1,1,0,0,33,5,0,0,0,0,0,0,28.0,0.0
5164.900000000001,137,37.7,2012.0,16,5,40,5,39,16,1,1,117,8329,54,374,4,15,2,2,1,0,1,1,0,0,44,41,35,39,1,1,16,4,4,2,1,2,2,174,39,1,1,9,0,0,0,123.0,18.0
4200.0,105,40.0,0.0,6,0,67,18,9,0,0,0,182,9108,811,3727,6,12,2,1,2,1,0,0,1,0,28,28,28,28,4,1,4,2,3,0,1,1,0,103,22,0,0,6,2,0,0,1.0,1.0
9268.5,185,50.1,2015.0,8,0,47,14,22,6,0,0,221,4390,280,1006,9,10,2,0,2,1,4,1,0,0,52,52,45,45,7,0,11,0,12,3,1,3,1,86,9,0,0,0,0,0,0,121.0,68.0
5499.0,141,39.0,2006.0,5,0,64,18,14,2,0,0,35,8621,658,2148,11,12,2,0,1,0,0,0,2,1,35,0,32,0,1,1,3,2,2,0,1,1,0,92,23,0,0,8,4,0,0,47.0,0.0
6552.0,126,52.0,0.0,10,0,79,19,26,0,0,0,249,6529,1597,970,4,12,2,0,2,0,2,0,2,0,39,40,32,40,4,1,12,1,8,0,2,0,0,88,13,1,0,6,0,1,0,52.0,2.0
27405.0,189,145.0,2008.0,14,4,48,9,69,13,0,0,112,2615,497,636,22,23,3,0,17,14,7,1,2,0,56,65,45,49,5,2,32,3,20,8,3,1,1,174,26,1,0,21,8,0,0,237.0,44.0
24860.0,200,124.3,2017.0,14,0,70,13,75,6,0,0,169,3707,1020,596,3,10,3,0,4,0,7,2,2,0,59,58,50,56,14,0,26,0,6,2,2,0,0,194,12,2,0,2,0,0,0,240.0,63.0
5934.0,129,46.0,1897.0,2,2,77,26,18,4,0,0,118,4269,1402,1909,3,5,2,0,1,1,5,1,2,0,35,36,30,34,5,2,21,9,17,3,2,0,0,59,16,0,0,9,5,3,1,143.0,59.0
10973.699999999999,137,80.1,1958.0,1,0,2,0,0,0,0,0,949,6301,972,2663,3,5,0,0,0,0,0,0,0,0,51,49,45,42,0,0,3,0,3,0,3,1,0,2,0,0,0,1,0,0,0,176.0,115.0
6993.6,94,74.4,0.0,2,1,40,12,9,4,1,0,279,4949,925,1212,4,5,1,1,1,0,0,0,1,1,52,51,50,46,1,0,5,1,4,0,3,1,0,47,11,0,0,12,4,0,0,61.0,35.0
14348.0,211,68.0,2012.0,3,1,59,10,20,3,0,0,147,4752,1476,1088,5,14,1,0,1,0,1,0,3,1,59,50,50,50,1,0,3,2,7,1,2,0,0,51,7,0,0,0,0,1,0,175.0,19.0
29939.0,329,91.0,2007.0,1,0,41,16,9,0,0,0,278,4353,974,1085,7,10,0,0,1,0,1,0,3,0,60,109,50,90,1,0,5,1,3,0,2,1,0,42,3,0,0,0,0,0,0,131.0,7.0
79902.6,489,163.4,2006.0,7,0,71,8,39,6,0,0,205,4935,975,1396,11,77,0,0,0,0,4,0,1,0,61,72,55,65,2,0,7,2,12,3,4,1,0,75,3,0,0,9,0,1,0,64.0,23.0
15088.0,184,82.0,1845.0,29,11,76,2,284,91,0,0,483,916,77,722,1,4,3,2,3,1,91,26,11,5,47,46,36,40,92,24,252,99,217,49,2,5,4,453,135,3,0,10,0,2,0,202.0,49.0
8036.400000000001,111,72.4,0.0,18,6,80,16,89,23,1,1,89,2690,212,617,2,5,7,1,6,1,19,2,9,2,51,51,40,45,14,5,112,32,15,2,3,7,3,395,133,3,0,2,0,2,0,235.0,73.0
6720.0,160,42.0,1961.0,28,11,99,20,203,51,2,1,96,3123,702,656,3,5,5,4,9,5,19,7,9,1,63,52,50,41,24,4,38,7,73,21,2,3,0,442,89,2,0,22,6,0,0,296.0,38.0
11264.0,128,88.0,0.0,4,2,89,38,19,6,0,0,102,4221,1318,1796,2,10,2,0,1,1,4,1,2,1,34,36,30,34,5,2,23,8,20,4,3,0,0,65,15,0,0,11,6,3,1,146.0,59.0
10494.5,139,75.5,1788.0,40,18,105,33,379,137,2,0,221,1528,461,367,1,5,9,3,3,0,123,46,12,2,59,49,45,40,78,22,331,136,87,13,3,6,1,966,437,3,3,10,5,1,0,194.0,112.0
18360.0,170,108.0,2016.0,4,2,23,5,12,5,0,0,237,4713,420,2792,7,10,4,0,0,0,0,0,2,0,56,67,55,60,4,2,9,3,29,15,3,1,1,73,12,0,0,12,0,0,0,35.0,17.0
38994.0,291,134.0,2007.0,1,0,41,16,9,0,0,0,278,4353,974,1085,9,10,0,0,1,0,1,0,3,0,60,109,50,90,1,0,5,1,3,0,2,1,0,42,3,0,0,0,0,0,0,131.0,7.0
2646.0,147,18.0,1890.0,9,2,87,35,175,55,0,0,70,2672,433,1438,2,4,10,3,2,2,38,8,6,3,54,41,46,35,26,7,160,29,46,13,0,2,1,440,154,0,0,15,3,0,0,62.0,11.0
4682.7,99,47.3,2004.0,8,1,89,25,19,3,1,0,137,8389,1177,3192,6,23,0,0,0,0,0,0,3,0,34,27,32,24,5,2,4,0,4,1,1,0,0,134,31,0,0,16,4,0,0,63.0,13.0
4681.6,133,35.2,2017.0,2,0,14,4,5,1,1,0,141,7474,2601,4941,14,25,0,0,1,1,0,0,0,0,53,56,47,53,0,0,1,1,1,0,1,0,0,18,4,0,0,0,0,0,0,8.0,6.0
7493.0,127,59.0,1926.0,1,0,9,2,12,0,0,0,317,5263,2157,1295,3,6,2,2,1,0,0,0,0,0,49,50,42,45,0,0,8,2,4,1,3,0,0,36,15,0,0,4,2,0,0,176.0,35.0
9963.0,123,81.0,1938.0,13,7,50,20,25,8,1,1,293,4188,45,634,5,5,1,0,5,2,0,0,1,0,53,57,50,50,3,3,12,6,7,2,3,1,1,113,59,1,0,12,4,0,0,110.0,56.0
22898.0,214,107.0,2017.0,14,4,64,26,76,27,0,0,205,2859,574,1335,6,6,3,2,2,0,18,0,2,0,52,53,45,49,5,3,62,17,29,12,3,3,0,186,62,0,0,0,0,5,2,78.0,16.0
9367.0,85,110.2,0.0,60,16,81,20,416,125,3,1,163,1480,401,365,6,7,7,1,9,7,171,36,15,3,51,50,40,40,122,33,273,69,38,10,4,8,2,1150,399,5,2,16,9,0,0,444.0,80.0
4998.0,98,51.0,1984.0,13,8,98,37,28,5,1,0,215,8552,577,2974,6,9,2,0,2,0,0,0,2,1,33,34,30,32,5,1,11,0,4,1,2,2,0,172,48,0,0,12,7,0,0,64.0,45.0
3990.0,133,30.0,2016.0,1,0,28,8,7,1,0,0,196,7943,1566,1626,20,25,0,0,0,0,0,0,1,0,56,0,44,0,0,0,4,1,2,0,0,0,0,19,5,0,0,12,0,0,0,22.0,0.0
1966.8,149,13.2,1912.0,18,6,76,18,95,22,1,1,146,2621,208,603,1,7,7,2,6,2,21,2,9,2,51,50,40,45,14,5,113,38,20,2,0,6,2,390,129,3,0,2,0,2,0,223.0,69.0
9078.3,231,39.3,2018.0,0,0,40,19,3,1,0,0,199,5082,839,1304,4,9,1,0,0,0,1,0,2,0,55,0,50,0,0,0,4,0,6,1,1,1,0,22,2,0,0,0,0,0,0,35.0,0.0
6960.0,120,58.0,1959.0,9,1,48,16,14,3,1,0,227,4794,709,988,1,5,1,1,4,0,0,0,1,1,53,51,48,46,3,0,8,3,4,1,2,1,0,103,14,1,0,12,4,0,0,86.0,43.0
29900.0,260,115.0,2005.0,1,1,54,20,15,2,0,0,84,5693,1943,195,3,6,0,0,1,1,1,0,2,2,56,57,56,40,0,0,1,0,14,6,3,0,0,19,5,1,1,0,0,0,0,55.0,7.0
22983.0,141,163.0,1905.0,40,22,105,39,400,154,2,1,121,1410,570,261,3,7,8,2,3,0,129,48,14,4,57,51,43,40,108,27,332,129,84,11,5,6,0,1002,509,4,3,11,6,1,0,195.0,113.0
7945.6,104,76.4,1998.0,3,0,36,8,18,4,1,0,312,9581,2921,1186,6,9,1,0,0,0,0,0,3,1,43,0,40,0,1,0,5,0,7,2,2,0,0,97,15,0,0,6,0,0,0,13.0,0.0
5073.0,114,44.5,1965.0,16,0,73,12,37,2,2,0,109,5013,906,524,8,9,1,0,3,1,1,0,1,0,57,55,46,41,7,2,4,0,2,0,2,1,0,141,31,1,0,11,0,0,0,273.0,32.0
